sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
101015,"Nálepka ""Život dětem"" (CZ), 1 ks",Tiskoviny->Marketingové nástroje TianDe,1,1,1,30.0,0.0,17
100264,"Brožura ""Altai Sacral"" (CZ), 1 ks","Tiskoviny->Брошюры, буклеты, книги",1,1,1,10.0,0.0,19
100323/02,"Brožura ""ECO mycí prostředek TianDe""  PL (polský jazyk)","Tiskoviny->Брошюры, буклеты, книги",1,1,1,3.0,0.0,20
100284,"Brožura ""Fucoidan"" (CZ), 1 ks","Tiskoviny->Брошюры, буклеты, книги",1,1,1,10.0,0.0,21
100289,"Brožura ""Marketingový plán TianDe 2020"" (CZ)","Tiskoviny->Брошюры, буклеты, книги",1,1,1,20.0,0.0,22
100263/01,"Brožura ""Master Herb""  (RO rumusnký jazyk)","Tiskoviny->Брошюры, буклеты, книги",1,1,1,15.0,0.0,23
100281,"Franchising TianDe - Příručka pro vedoucí Servisních center (CZ), 1 ks","Tiskoviny->Брошюры, буклеты, книги",1,1,1,1600.0,0.0,24
101806,Pracovní sešit TianDe   (PL  polský jazyk),"Tiskoviny->Брошюры, буклеты, книги",1,1,1,33.0,0.0,25
101488,1+1Katalog Tiande 2025 (RO),Tiskoviny->Каталоги и прайс-листы,1,1,1,73.0,0.0,27
101491,Katalog TianDe 2026 (CZ),Tiskoviny->Каталоги и прайс-листы,1,1,1,35.0,0.0,28
101460,Katalog TianDe 2020/2021 (EN),Tiskoviny->Каталоги и прайс-листы->Каталоги 2020,1,1,1,42.0,0.0,30
101479,Katalog TianDe 2024 (CZ),Tiskoviny->Каталоги и прайс-листы->Каталоги 2024,1,1,1,65.0,0.0,32
101484,Katalog TianDe 2024 (DE),Tiskoviny->Каталоги и прайс-листы->Каталоги 2024,1,1,1,90.0,0.0,33
101483,Katalog Tiande 2024 (RO),Tiskoviny->Каталоги и прайс-листы->Каталоги 2024,1,1,1,0.0,0.0,34
100056/10,Akční leták (RO),Tiskoviny->Листовки TianDe,1,1,1,0.0,0.0,36
100051/01,Akční leták KATALOG (CZ),Tiskoviny->Листовки TianDe,1,1,1,3.0,0.0,37
100051/02,Akční leták KATALOG (SK),Tiskoviny->Листовки TianDe,1,1,1,3.0,0.0,38
100716,Papírová dárková taška (zlata Tiande) 250x90x250 mm,Tiskoviny->Пакеты,1,1,1,33.0,0.0,40
100712,Papírová taška (fialová)  280*100*230,Tiskoviny->Пакеты,1,1,1,37.0,0.0,41
100644/24,Taška kraftový papír Tiande 24x11x33 cm  (hnědá barva),Tiskoviny->Пакеты,1,1,1,7.0,0.0,42
80112/09HM,"Ovocný balzám na rty „Broskev“, 3,5 g",Dekorativní kosmetika->Ovocné balzámy na rty TianDe,1 / 24 / 720,1/24/720,720,68.0,2.0,44
80112/07,"Ovocný balzám na rty „Jahoda“, 3,5 g",Dekorativní kosmetika->Ovocné balzámy na rty TianDe,1 / 24 / 720,1/24/720,720,68.0,2.0,45
80112/08HM,"Ovocný balzám na rty „Malina“, 3,5 g",Dekorativní kosmetika->Ovocné balzámy na rty TianDe,1 / 24 / 720,1/24/720,720,68.0,2.0,46
80112/03,"Ovocný balzám na rty „Vanilka“, 3,5 g",Dekorativní kosmetika->Ovocné balzámy na rty TianDe,1 / 24 / 720,1/24/720,720,68.0,2.0,47
80112/05,"Ovocný balzám na rty „Višeň“, 3,5 g",Dekorativní kosmetika->Ovocné balzámy na rty TianDe,1 / 24 / 720,1/24/720,720,68.0,2.0,48
80411/02,"Oční stíny Nápady líčení, 9 g",Dekorativní kosmetika->Серия «City Style» TianDe,1 / 144,1/144,144,385.0,13.0,50
80904/01,"Tužka na rty a oči, ton 01 ""Black"",1 ks","Dekorativní kosmetika->Серия «ProVisage» TianDe->Tužka na rty a oči ""ProVisage TianDe""",1 / 12 / 2880,1/12/2880,2880,42.0,1.4,52
80904/02,"Tužka na rty a oči, ton 02 ""Dark Brown"",1 ks","Dekorativní kosmetika->Серия «ProVisage» TianDe->Tužka na rty a oči ""ProVisage TianDe""",1 / 12 / 2880,1/12/2880,2880,42.0,1.4,53
80904/03,"Tužka na rty a oči, ton 03 ""Gray"",1 ks","Dekorativní kosmetika->Серия «ProVisage» TianDe->Tužka na rty a oči ""ProVisage TianDe""",1 / 12 / 2880,1/12/2880,2880,42.0,1.4,54
80921/01,"Sametový pleťový pudr Duo (odstín 01), 10 g",Dekorativní kosmetika->Серия «ProVisage» TianDe->Пудра ProVisage TianDe,1 / 240,1/240,240,291.0,10.0,56
80921/02,"Sametový pleťový pudr Duo (odstín 02), 10 g",Dekorativní kosmetika->Серия «ProVisage» TianDe->Пудра ProVisage TianDe,1 / 240,1/240,240,291.0,10.0,57
10114,"AKCE březen - duben!  CC pleťový krém s blur efektem SPF 20, 50 g",Kosmetické přípravky TianDe,1 / 120,1/120,120,348.0,12.0,59
10115HM,"AKCE březen - duben!  Krém s válečkem na tvarování kontur brady a krku, 120 g",Kosmetické přípravky TianDe,1 / 70,1/70,70,248.0,8.3,60
140110HM,"Kapsle na hygienické praní, 52 ks х 8 g",Kosmetické přípravky TianDe,1 / 36,1/36,36,484.0,15.9,61
147801,"Tablety do myčky s aktivním kyslíkem, 8 g х 35 ks",Kosmetické přípravky TianDe,1 / 24,1/24,24,445.0,12.5,62
30115HM,"Dop.sleva 15% Tělový deodorant-spray „Přírodní alunit a šalvěj"", 100 ml",Kosmetické přípravky TianDe->Deodorant,1 / 20,1/20,20,269.0,9.0,64
60151-2,"Kamencový deodorant s prebiotiky Men's Choice, svěžest, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,65
60153-2,"Kamencový deodorant s prebiotiky, květinová vůně, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,66
60152-2,"Kamencový deodorant s prebiotiky, svěží vůně, 50 g",Kosmetické přípravky TianDe->Deodorant,1 / 96,1/96,96,134.0,4.5,67
30101,"Krystalový tělový deodorant Natural Veil, 60 g",Kosmetické přípravky TianDe->Deodorant,1 / 12 / 144,1/12/144,144,269.0,9.7,68
30117,"Kosmetická fytonáplast Jian Kang, 5 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 400,1/400,400,120.0,4.5,70
30118,"Kosmetická fytonáplast Wutong, 5 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 400,1/400,400,120.0,4.5,71
30111,"Kosmetická tělová fytonáplast Yaoshen Forte, 2 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 1500,1/1500,1500,126.0,4.7,72
30106,"Kosmetická tělová fytonáplast Zhui Feng Forte, 4 ks",Kosmetické přípravky TianDe->Fytopatche TianDe,1 / 120 / 720,1/120/720,720,84.0,2.3,73
10112,"Kolagenová pleťová esence na vrásky, 50 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 100,1/100,100,463.0,16.0,75
10108HM,"Multipeptidové pleťové sérum, 30 ml",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 12 / 96,1/12/96,96,378.0,13.0,76
20155,"Olejová esence na vlasy vkapslích, 20 ks x 1 g",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 150,1/150,150,282.0,9.7,77
10110HM,"Peptidový krém na oční víčka na vrásky, 30 g",Kosmetické přípravky TianDe->Kapsulní kosmetika,1 / 100,1/100,100,463.0,16.0,78
